School Name,address,Zip Code
SHERWOOD,245 W 57TH St,60621
SHIELDS,4250 S ROCKWELL St,60632
SHIELDS MIDDLE,2611 W 48TH St,60632
SHOESMITH,1330 E 50TH St,60615
SHOOP,11140 S BISHOP St,60643
SIMEON HS,8147 S VINCENNES Ave,60620
SIMPSON HS,1321 S PAULINA St,60608
SKINNER,1260 W ADAMS St,60607
SKINNER NORTH,640 W SCOTT St,60610
SMITH,744 E 103RD St,60628
SMYSER,4310 N MELVINA Ave,60634
SMYTH,1059 W 13TH St,60608
SOCIAL JUSTICE HS,3120 S KOSTNER Ave,60623
SOLOMON,6206 N HAMLIN Ave,60659
SOLORIO HS,5400 S ST LOUIS Ave,60632
SOR JUANA,4034 W 56TH,60629
SOUTH LOOP,1601 S DEARBORN St,60616
SOUTH SHORE ES,1415 E 70TH St,60637
SOUTH SHORE INTL HS,1955 E 75TH St,60649
SOUTHSIDE HS,7342 S HOYNE Ave,60636
SPENCER,214 N LAVERGNE Ave,60644
SPRY ES,2400 S MARSHALL Blvd,60623
SPRY HS,2400 S MARSHALL Blvd,60623
STAGG,7424 S MORGAN St,60621
STEINMETZ HS,3030 N MOBILE Ave,60634
STEM,1522 W FILLMORE St,60607
STEVENSON,8010 S KOSTNER Ave,60652
STOCK,7507 W BIRCHWOOD Ave,60631
STONE,6239 N LEAVITT St,60659
STOWE,3444 W WABANSIA Ave,60647
SUDER,2022 W WASHINGTON Blvd,60612
SULLIVAN HS,6631 N BOSWORTH Ave,60626
SUMNER,4320 W 5TH Ave,60624
SUTHERLAND,10015 S LEAVITT St,60643
SWIFT,5900 N WINTHROP Ave,60660
TAFT HS,6530 W BRYN MAWR Ave,60631
TALCOTT,1840 W OHIO St,60622
TALMAN,5450 S TALMAN Ave,60632
TANNER,7350 S EVANS Ave,60619
TARKINGTON,3330 W 71ST St,60629
TAYLOR,9912 S AVENUE H,60617
